Accession	Type	Target	Description	Lab	link
ENCSR000AKB	immortalized cell line	CTCF	CTCF ChIP-seq on human GM12878	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AKB
ENCSR000AKO	immortalized cell line	CTCF	CTCF ChIP-seq on human K562	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AKO
ENCSR000AKZ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human K562	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AKZ
ENCSR000ALA	primary cell	CTCF	CTCF ChIP-seq on human endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ALA
ENCSR000ALH	primary cell	POLR2A	POLR2A ChIP-seq on human endothelial cell of umbilical vein	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ALH
ENCSR000ALJ	primary cell	CTCF	CTCF ChIP-seq on human NHEK	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ALJ
ENCSR000ALT	primary cell	POLR2A	POLR2A ChIP-seq on human NHEK	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ALT
ENCSR000ALV	primary cell	CTCF	CTCF ChIP-seq on human mammary epithelial cell	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ALV
ENCSR000AMA	immortalized cell line	CTCF	CTCF ChIP-seq on human HepG2	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AMA
ENCSR000AMF	stem cell	CTCF	CTCF ChIP-seq on human H1-hESC	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AMF
ENCSR000ANE	primary cell	CTCF	CTCF ChIP-seq on human skeletal muscle myoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ANE
ENCSR000ANO	primary cell	CTCF	CTCF ChIP-seq on human NHLF	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ANO
ENCSR000ANS	in vitro differentiated cells	CTCF	CTCF ChIP-seq on human HSMMtube	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000ANS
ENCSR000AOA	immortalized cell line	CTCF	CTCF ChIP-seq on human HeLa-S3	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AOA
ENCSR000AOJ	immortalized cell line	POLR2A	POLR2A ChIP-seq on human HeLa-S3	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AOJ
ENCSR000AOO	primary cell	CTCF	CTCF ChIP-seq on human NH-A	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000AOO
ENCSR000APF	primary cell	CTCF	CTCF ChIP-seq on human osteoblast	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000APF
ENCSR000APM	primary cell	CTCF	CTCF ChIP-seq on human NHDF-Ad	Bradley Bernstein, Broad	https://www.encodeproject.org/experiments/ENCSR000APM
